issue_id,dataset_name,bronze_table,silver_table,acceptance_rate,critical_reject_rule_hits,high_reject_rule_hits,medium_reject_rule_hits,total_reject_rule_hits,top_failed_rules,priority,triage_status,recommended_owner,plain_language_summary,recommended_action,created_at_utc
DQ-TRANSACTIONS,transactions,bronze_transactions,silver_transactions,0.9975,24,6,0,30,transaction_id_must_be_unique (10 hits); customer_id_required (8 hits); amount_must_be_positive (6 hits); currency_must_be_cad (6 hits),p1_high,escalate_immediately,payments_data_engineering_team,"transactions had 30 data quality rule hits. 11,975 of 12,005 records were accepted into silver for an acceptance rate of 99.75%. The main issue patterns were: transaction_id_must_be_unique (10 hits), customer_id_required (8 hits), amount_must_be_positive (6 hits).","Review rejected transaction records, confirm source-system rules for required IDs, positive amounts, duplicate transaction IDs, and CAD currency standardization. Open a data quality issue with the payments data engineering team and confirm whether upstream validation or downstream quarantine logic should be adjusted.",2026-05-27 21:34:38
DQ-ACCOUNTS,accounts,bronze_accounts,silver_accounts,1.0,0,0,0,0,none,p4_none,no_action_required,core_banking_data_owner,"accounts passed the current data quality checks. 2,013 of 2,013 records were accepted into silver.",Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
DQ-CUSTOMER-SERVICE-NOTES,customer_service_notes,bronze_customer_service_notes,silver_customer_service_notes,1.0,0,0,0,0,none,p4_none,no_action_required,customer_operations_data_steward,customer_service_notes passed the current data quality checks. 300 of 300 records were accepted into silver.,Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
DQ-CUSTOMERS,customers,bronze_customers,silver_customers,1.0,0,0,0,0,none,p4_none,no_action_required,customer_data_steward,"customers passed the current data quality checks. 1,000 of 1,000 records were accepted into silver.",Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
DQ-EXCHANGE-RATES-API,exchange_rates_api,bronze_exchange_rates_api,silver_exchange_rates_api,1.0,0,0,0,0,none,p4_none,no_action_required,external_reference_data_owner,exchange_rates_api passed the current data quality checks. 120 of 120 records were accepted into silver.,Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
DQ-FRAUD-ALERT-EVENTS,fraud_alert_events,bronze_fraud_alert_events,silver_fraud_alert_events,1.0,0,0,0,0,none,p4_none,no_action_required,fraud_analytics_data_owner,fraud_alert_events passed the current data quality checks. 500 of 500 records were accepted into silver.,Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
DQ-PRODUCTS,products,bronze_products,silver_products,1.0,0,0,0,0,none,p4_none,no_action_required,product_reference_data_steward,products passed the current data quality checks. 8 of 8 records were accepted into silver.,Continue monitoring through scheduled pipeline checks.,2026-05-27 21:34:38
